Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.LinearLayout""), 0)",,,,13-02-2024 16:47:20,13-02-2024 16:47:21,1.405s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText""), 0)",,,,13-02-2024 16:47:21,13-02-2024 16:47:23,1.677s,PASSED
"setText(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText""), username, 0)",,,,13-02-2024 16:47:23,13-02-2024 16:47:26,2.593s,PASSED
hideKeyboard(),,,,13-02-2024 16:47:26,13-02-2024 16:47:28,1.933s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText (1)""), 0)",,,,13-02-2024 16:47:28,13-02-2024 16:47:28,0.489s,PASSED
"setText(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText (1)""), password, 0)",,,,13-02-2024 16:47:28,13-02-2024 16:47:30,2.411s,PASSED
hideKeyboard(),,,,13-02-2024 16:47:30,13-02-2024 16:47:32,1.746s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 16:47:32,13-02-2024 16:47:33,0.493s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.ImageView""), 0)",,,,13-02-2024 16:47:33,13-02-2024 16:47:36,3.260s,PASSED
closeApplication(),,,,13-02-2024 16:47:36,13-02-2024 16:47:39,3.164s,PASSED
Video,,,,13-02-2024 16:47:41,13-02-2024 16:47:41,0.002s,PASSED
,,,,,,,
Test Cases/Login/Variation - Username Salah,,,,13-02-2024 16:47:41,13-02-2024 16:48:38,56.516s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Advantage+demo+3.2.apk"", true)",,,,13-02-2024 16:47:41,13-02-2024 16:48:19,37.204s,PASSED
"tap(findTestObject(""Object Repository/Login Gagal/android.widget.ImageView""), 0)",,,,13-02-2024 16:48:19,13-02-2024 16:48:21,2.190s,PASSED
"tap(findTestObject(""Object Repository/Login Gagal/android.widget.LinearLayout""), 0)",,,,13-02-2024 16:48:21,13-02-2024 16:48:22,1.389s,PASSED
"tap(findTestObject(""Object Repository/Login Gagal/android.widget.EditText""), 0)",,,,13-02-2024 16:48:22,13-02-2024 16:48:24,1.781s,PASSED
"setText(findTestObject(""Object Repository/Login Gagal/android.widget.EditText""), ""Lalaye"", 0)",,,,13-02-2024 16:48:24,13-02-2024 16:48:27,2.671s,PASSED
"tap(findTestObject(""Object Repository/Login Gagal/android.widget.EditText (1)""), 0)",,,,13-02-2024 16:48:27,13-02-2024 16:48:28,0.926s,PASSED
"setText(findTestObject(""Object Repository/Login Gagal/android.widget.EditText (1)""), ""@lalayeye01A"", 0)",,,,13-02-2024 16:48:28,13-02-2024 16:48:30,2.059s,PASSED
hideKeyboard(),,,,13-02-2024 16:48:30,13-02-2024 16:48:32,1.882s,PASSED
"tap(findTestObject(""Object Repository/Login Gagal/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 16:48:32,13-02-2024 16:48:32,0.530s,PASSED
closeApplication(),,,,13-02-2024 16:48:32,13-02-2024 16:48:36,3.618s,PASSED
Video,,,,13-02-2024 16:48:38,13-02-2024 16:48:38,0.001s,PASSED
