Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,13-02-2024 16:45:32,13-02-2024 16:48:38,3m - 6.205s,PASSED
,,,,,,,
Test Cases/Login/Login - Berhasil,,,,13-02-2024 16:45:32,13-02-2024 16:46:45,1m - 13.161s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Advantage+demo+3.2.apk"", true)",,,,13-02-2024 16:45:33,13-02-2024 16:46:19,45.274s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.ImageView""), 0)",,,,13-02-2024 16:46:19,13-02-2024 16:46:21,2.011s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.LinearLayout""), 0)",,,,13-02-2024 16:46:21,13-02-2024 16:46:22,1.609s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText""), 0)",,,,13-02-2024 16:46:22,13-02-2024 16:46:25,3.077s,PASSED
"setText(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText""), username, 0)",,,,13-02-2024 16:46:25,13-02-2024 16:46:28,2.975s,PASSED
hideKeyboard(),,,,13-02-2024 16:46:28,13-02-2024 16:46:31,2.933s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText (1)""), 0)",,,,13-02-2024 16:46:31,13-02-2024 16:46:32,0.520s,PASSED
"setText(findTestObject(""Object Repository/Login Berhasil/android.widget.EditText (1)""), password, 0)",,,,13-02-2024 16:46:32,13-02-2024 16:46:34,2.666s,PASSED
hideKeyboard(),,,,13-02-2024 16:46:34,13-02-2024 16:46:36,2.111s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 16:46:36,13-02-2024 16:46:37,0.468s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.ImageView""), 0)",,,,13-02-2024 16:46:37,13-02-2024 16:46:40,3.179s,PASSED
closeApplication(),,,,13-02-2024 16:46:40,13-02-2024 16:46:43,3.029s,PASSED
Video,,,,13-02-2024 16:46:45,13-02-2024 16:46:45,0.001s,PASSED
,,,,,,,
Test Cases/Login/Login - Berhasil,,,,13-02-2024 16:46:45,13-02-2024 16:47:41,55.898s,PASSED
"startApplication(""C:\Users\LENOVO\Downloads\Advantage+demo+3.2.apk"", true)",,,,13-02-2024 16:46:45,13-02-2024 16:47:18,32.433s,PASSED
"tap(findTestObject(""Object Repository/Login Berhasil/android.widget.ImageView""), 0)",,,,13-02-2024 16:47:18,13-02-2024 16:47:20,2.086s,PASSED
